intrange,fname,chisqr,Q1,sigma,gain,pv_r,pv_r_hist,pe_res_orig,pe_res,n_pe
20,../../SinglePEMeasurements/HAM_KM56213(New)_1000V.root,1.56621,0.610526,0.233038,3491350,2.64065,2.99864,0.381701,38.1701,0.20037
20,../../SinglePEMeasurements/HAM_KM56213(New)_1025V.root,1.84609,0.736218,0.270624,4271650,3.11652,3.54093,0.367587,36.7587,0.198116
20,../../SinglePEMeasurements/HAM_KM56213(New)_1050V.root,1.80649,0.88347,0.311962,5193470,3.4226,3.86156,0.35311,35.311,0.196409
20,../../SinglePEMeasurements/HAM_KM56213(New)_1075V.root,2.14782,1.05253,0.358604,6242860,3.61356,4.05206,0.340707,34.0707,0.190085
20,../../SinglePEMeasurements/HAM_KM56213(New)_1100V.root,2.39261,1.23931,0.409409,7404650,3.69041,4.44421,0.330353,33.0353,0.186695
20,../../SinglePEMeasurements/HAM_KM56213(New)_1125V.root,5.71346,1.46168,0.469762,8790540,3.51836,4.19298,0.321385,32.1385,0.185112
20,../../SinglePEMeasurements/HAM_KM56213(New)_1150V.root,3.28088,1.64708,0.613736,9967640,4.40214,4.08913,0.37262,37.262,0.2151
20,../../SinglePEMeasurements/HAM_KM56213(New)_1200V.root,2.30319,2.23884,0.782918,13668100,4.02235,4.26778,0.349699,34.9699,0.211722
20,../../SinglePEMeasurements/HAM_KM56213(New)_1250V.root,3.02139,2.94706,1.03069,18089200,4.25103,4.41188,0.349736,34.9736,0.213358
20,../../SinglePEMeasurements/HAM_KM56213(New)_1300V.root,7.89115,3.81652,1.5606,23504900,3.7964,4.47347,0.408907,40.8907,0.211624
20,../../SinglePEMeasurements/HAM_KM56213(New)_900V.root,2.04914,0.266685,0.130978,1364650,1.02747,1.22662,0.491135,49.1135,0.205973
20,../../SinglePEMeasurements/HAM_KM56213(New)_950V.root,1.61431,0.409198,0.174206,2240020,1.6728,2.05049,0.425725,42.5725,0.209904
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1150V.root,2.23644,0.40964,0.154481,2265610,2.01474,2.46393,0.377113,37.7113,0.202368
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1200V.root,1.40854,0.554094,0.203504,3148920,3.0057,3.41005,0.367273,36.7273,0.193902
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1201V.root,1.37016,0.552352,0.203576,3136030,3.0011,3.33533,0.368562,36.8562,0.204762
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1225V.root,1.59755,0.652968,0.231036,3783180,3.49781,3.83054,0.353824,35.3824,0.202651
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1250V.root,1.45095,0.760103,0.256587,4441280,3.71134,3.99486,0.337569,33.7569,0.193978
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1260V.root,1.43332,0.810053,0.270398,4765380,3.78108,4.17982,0.333803,33.3803,0.197344
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1270V.root,1.73852,0.855843,0.284894,5049980,3.82921,4.15917,0.332882,33.2882,0.196478
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1273V.root,1.60777,0.874989,0.287609,5136390,3.74158,3.95089,0.3287,32.87,0.19577
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1280V.root,1.59439,0.907562,0.297914,5371370,3.82938,4.03209,0.328258,32.8258,0.191604
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1290V.root,1.59071,0.962606,0.311851,5714050,3.79211,4.20566,0.323965,32.3965,0.192503
20,../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1300V.root,1.92599,1.01564,0.324667,6038830,3.88148,4.03861,0.319669,31.9669,0.18945
